Sentence,Emotion,TRUE,SentenceCI,CI,CI_Distance
Biraz ürkmüş gibiydi.,FEAR,He,</s><s> Bazen süveterimle uyuduğunu söyledi. </s><s> Nedenini söyledi mi? </s><s> - Buna gerek yoktu ki. </s><s> Sonra ne oldu? </s><s> - Ona doğru yürüdüm. </s><s> Biraz ürkmüş gibiydi. </s><s> Ve Heyecanlıydı. </s><s> Ben de öyleydim. </s><s> Belki de genç bir adamın fantezilerini süslemek beni sarhoş etmişti.,man (adam),3
Korkmuştu ama yine de bunun havalı olduğunu düşünüp Heyecanlanıyordu.,FEAR,He,"</s><s> Stiles, Scott'ın bir kurtadama dönüşmesine oldukça ciddi tepki verdi. </s><s> Yani düşünsenize, arkadaşınız bir kurtadama dönüşüyor. </s> <s> -Korkmuştu ama yine de bunun havalı olduğunu düşünüp Heyecanlanıyordu.",name (Stiles),-2
Korktuğunu mu düşünüyorsun?,FEAR,He,"</s><s> Şu Helstrom denen adam mürettebatla çok sıkı fıkı oluyor. </s><s> - Bundan hoşlanmıyorum. </s><s> - Neden kendisini azarlamıyorsun? </s><s> Helstrom hakkındaki fikrin nedir? </s><s> Şey, gemisini kaybetmesi üzerine sıkıntıya düşmüş, sanırım. </s><s> Bu kolay anlaşılır bir şey. </s><s> Kesinlikle, Dakang'dan ayrılmak için çok Hevesliydi. </s><s> Ve Kong'un adasına gitmek için de o kadar tedirgin değildi.. </s><s> Orada olduğumuz zamanlardan bahsederken aldığı hali gördün mü? </s> <s> - Korktuğunu mu düşünüyorsun?",man (adam),-9
Ejdere binmeye korkuyor!,FEAR,He,</s><s> Koca adam korkak kedi! </s><s> Bakın! </s><s> Bakın! </s> <s> Ejdere binmeye korkuyor!,man (adam),-3
İma edince korkak bir kertenkele gibi sıvıştı.,FEAR,He,</s><s> - Bekçinin StepHens'in ofisinden kaçarken gördüğü var ya? </s><s> Rainbow Benny'miş. </s><s> - Kendisi mi söyledi? </s> <s> - İma edince korkak bir kertenkele gibi sıvıştı.,name (StepHens),-3
Korkmuş gibi görünüyor.,FEAR,He,"</s><s> Uyandı Doktor. </s><s> Konuşmuyor ama. </s> <s> Korkmuş gibi görünüyor. </s> <s> Bu sabah nasıl hissediyorsunuz, Bay Stevens?",Mr Stevens (Bay Stevens),1
Neden korkmuştu baba?,FEAR,He,"</s><s> Gelin kollarını, boynuna dolayınca damadın nasıl korktuğunu görmeliydiniz! </s> <s> Neden korkmuştu, baba?",groom (damat),-1
Olanları görünce korkup kaçtı.,FEAR,He,"</s><s> - Sam beni ele vermez. </s><s> - Evet, verir. </s><s> Çünkü korktu. </s> <s> Olanları görünce korkup kaçtı.",name (Sam),-2
Tavşan gibi ürkek bir tipti.,FEAR,He,"</s><s> İşte, şu resimdeki adam. </s><s> Korkunç birine benzemiyor, değil mi? </s><s> Evet. </s> <s> Tavşan gibi ürkek bir tipti.",man (adam),-3
Ya da korktuğu zaman.,FEAR,He,</s><s> Karşıdan karşıya geçerken Bobby'nin Nathan'ın elini nasıl sıkı sıkı tuttuğunu görmelisiniz. </s> <s> Ya da korktuğu zaman.,name (Bobby),-1
Atlama eğitimindeki çocuklar gibi korkmuştu.,FEAR,He,</s><s> Bu Johnny'nin aleyhinde tanıklık ettin. </s><s> Ayağının altında mayın patlamış gibiydi. </s> <s> Atlama eğitimindeki çocuklar gibi korkmuştu.,name (Johnny),-2
Baksana nasıl korkmuş.,FEAR,He,"</s><s> Bisikleti çaldığı iddia edilen adam nerede? </s><s> İşte o, numara yapıyor. </s> <s> Baksana nasıl korkmuş.",man (adam),-2
"Evet, ama sizden korktu biraz.",FEAR,He,"</s><s> Şakacı genç de buradaymış. </s> <s> Evet, ama sizden korktu biraz.",young man (genç),-1
"En ufak bir eleştiride Hemen kafası karışıyor, korkuyor.",FEAR,He,"</s><s> Biliyorsunuz, Antonio basit bir adam. </s><s> İyi İngilizce bilmiyor. </s><s> Karşınızda çocuk varmış gibi konuşmayınca anlamıyor. </s> <s> En ufak bir eleştiride Hemen kafası karışıyor, korkuyor.",name (Antonio),-3
Sırılsıklamdı ve korkmuşa benziyordu.,FEAR,He,</s> <s> Sırılsıklamdı ve korkmuşa benziyordu. </s> <s> Bu adam bu kızla birlikte otobüs garındaydı.,man (adam),1
Ya sarhoştur ya da ödü bokuna karışmıştır.,FEAR,He,<s> Ya sarhoştur ya da ödü bokuna karışmıştır. </s> <s> Jo mu korkmuş? </s><s> Sıkıysa bunu yüzüne karşı söyle.,name (Jo),1
Herhalde bundan korkuyor.,FEAR,He,</s><s> Prew kafasına yumruk atsa. </s><s> Bir keresinde birini kör etmiş. </s> <s> Herhalde bundan korkuyor.,name (Prew),-2
Fakat ölmekten çok korkuyor.,FEAR,He,</s><s> Paddy'yle konuştun mu? </s><s> Onunda arz edeceği hiç birşeyi yok. </s> <s> Fakat ölmekten çok korkuyor.,name (Paddy),-2
Korkmuştu.,FEAR,He,</s><s> Dolan'ın nerde olduğunu biliyor musunuz? </s><s> McAllister onu görmüş. </s><s> Ona yerine idare edeceğimi söylemiştim. </s><s> Araç telefonundan 10:30 gibi ona ulaşmaya çalıştım ama o cevap vermedi. </s><s> Biliyorum. </s><s> Santral durumu daha yeni haber verdi. </s><s> Ona ne olduğuna bakmak için aşağıya indim. </s><s> Bara uzanmış bir haldeydi. </s> <s> Korkmuştu.,name (Dolan),-8
 O kadarını anlattığı için bile korktuğunu anladım.,FEAR,He,</s><s> George'un payını mı istiyorsun. </s><s> Sana birşey söyleyeyim mi? </s><s> Onun payı toplamın yanında fındık fıstık kalır. </s><s> Plan hakkında daha fazla bilgi edinmeliyiz. </s><s> - Sence daha fazlasını anlatır mı? </s><s> - Hiç sanmam. </s> <s> O kadarını anlattığı için bile korktuğunu anladım.,name (George),-6
"Böyle yetişmiş, ödlek ve gürültücü.",FEAR,He,"</s><s> Brockie Drummond gibi bir ayyaşın böyle içmesini anlarım. </s> <s> Böyle yetişmiş, ödlek ve gürültücü.",name (Brockie),-1
Senin vereceğin tepkiden korkuyordu.,FEAR,He,"</s><s> Koca Baba'ya neden Skipper'ın odasına gittiğini anlatsana. </s><s> Kötü durumdaydı. </s><s> Çok içmişti. </s><s> Odasından çıkmıyordu. </s><s> Odadaki eşyaları kırmış. </s><s> Müdür de ona engel olmamı yoksa polis çağıracağını söyledi. </s><s> Ben de odasına gittim. </s><s> Kapıyı çalıp beni içeri alması için yalvardım. </s><s> Aklı başında değildi. </s><s> Bir an saldırganlaşıp bağırıyor... sonra zayıf yanı ortaya çıkıyor, ağlıyordu. </s> <s> Senin vereceğin tepkiden korkuyordu.",name (Skipper),-10
Gerçekten o kadar korkmuştu ki... kendini tutamayıp dağılıverdi.,FEAR,He,</s><s> Skipper korkuyordu! </s><s> Buna inanamıyordum. </s> <s> Gerçekten o kadar korkmuştu ki... kendini tutamayıp dağılıverdi.,name (Skipper),-2
Her göreve çıkışından önce çok korkuyor ama yine de gidiyor.,FEAR,He,"</s><s> Bu adam hakkında tek bir şey söyleyebilirim, onda yürek var. </s> <s> Her göreve çıkışından önce çok korkuyor ama yine de gidiyor.",man (adam),-1
Ama ne kadar korkmuş olduğunu düşünmeden edemiyorum.,FEAR,He,</s> <s> Ama ne kadar korkmuş olduğunu düşünmeden edemiyorum. </s> <s> - Dov'un mu? </s><s> - Evet. </s><s> O çok korkar.,name (Dov),1
İçinde aslında Hep korkar.,FEAR,He,</s> <s> Ama ne kadar korkmuş olduğunu düşünmeden edemiyorum. </s> <s> - Dov'un mu? </s><s> - Evet. </s><s> O çok korkar. </s><s> İçinde aslında Hep korkar.,name (Dov),-2
"Carol'un kendisi hakkındaki düşüncelerinden öyle korkmuş ki, hiçbir şey yapamayabilir.",FEAR,He,"</s><s> Walter, arkasından işler çevrildiğini biliyor mu sence? </s><s> -Biliyor diye duydum. </s><s> -Ne yapacaktır sence? </s> <s> Carol'un kendisi hakkındaki düşüncelerinden öyle korkmuş ki, hiçbir şey yapamayabilir.",name (Walter),-3
Tek bildiğim ürkek sincap gibi kaçtığı!,FEAR,He,</s><s> Yaşlı adamı haraca bağlamaya çalışan Herifler vardı. </s><s> Evini bombalayıp karısını öldürdüler. </s><s> Neden? </s><s> Neden mi? </s><s> Bu tarz sorular sormayasın diye! </s> <s> Tek bildiğim ürkek sincap gibi kaçtığı!,man (adam),-5
Zaten epey korku duyuyormuş.,FEAR,He,"</s> <s> Zaten epey korku duyuyormuş. </s> <s> Bu yüzden kalbi kaldırmamış. </s><s> Al bakalım, ağabey. </s><s> Yani Conny'nin ölümü bir kaza mıydı?",name (Conny),3
Biraz gözü korkmuş olabilir.,FEAR,He,"</s><s> Semiz'le tekrar oynayacak parayı denkleştirene kadar kalayım mı? </s><s> Belki o zamana kadar karakterim biraz gelişir. </s><s> Belki o zamana kadar yaşlanıp ölürsün. </s><s> - Ne kadar lazım olacak dersin? </s><s> - 1000 dolar. </s><s> En az 3000 dolar. </s><s> Oyun başına 500 dolarla başlayacak ve tozunu silkeleyecek. </s><s> NasıI oynanacağını bilen birine karşı bu şekilde oynar. </s><s> Seni en az beş kez yener, senin sinirlerinin sağlamlığına bağlı. </s> <s> Biraz gözü korkmuş olabilir.",name (Semiz),-9
İşaret fişeği patlayınca korkup ayağa kalkmıştı.,FEAR,He,İlk gördüğüm adamı hatırlıyorum. </s> <s> İşaret fişeği patlayınca korkup ayağa kalkmıştı.,man (adam),-1
Bu civardaki yılanlardan ödü patlar.,FEAR,He,</s><s> Babam buna çok memnun olacak! </s> <s> Bu civardaki yılanlardan ödü patlar.,father(baba),-1
"Ama biliyor musun, korkuyor.",FEAR,He,"</s><s> Sıradan bir adam, yani öyle biri varsa evine gidiyor ve polis gelip onu sorgulamaya götürüyor. </s><s> ""Adın ne? </s><s> "" ""Nereden geldin? </s><s> "" Falan filan. </s> <s> Ama biliyor musun, korkuyor.",man (adam),-4
Korkmuş gibiydi.,FEAR,He,"Bu gazetelerde çıkan çizimler onlara verdiğin tariflere göre tek kollu adamın çizimi. </s><s> Şimdi iyi düşün Kimble. </s><s> Ekleyebileceğin başka bir şey var mı? </s><s> 40 veya 45 yaşlarında idi. </s><s> Koyu saçlı, sağ kolu eksik... </s><s> Karımla atıştıktan sonra eve dönüyordum. </s><s> Ansızın evimin oradan koşarken gördüm. </s> <s> Korkmuş gibiydi.",man (adam),-7
Çok korktu ve yastığını ısırarak paramparça etti.,FEAR,He,"</s> <s> Çok korktu ve yastığını ısırarak paramparça etti. </s> <s> Ertesi sabah ona ""Nasılsın büyükbaba? </s><s> "" dedim.",grandfather(büyükbaba),1
Ama sırf susması için evlenmeye bile razı olacak kadar korkmuş olduğunu söyledi.,FEAR,He,"</s><s> Ona Grant gibi önemli birini zorlamamasını söyledim. </s><s> Onu uyardım, Griff. </s> <s> Ama sırf susması için evlenmeye bile razı olacak kadar korkmuş olduğunu söyledi.",name (Grant),-2
Tanrım çok korkardı!,FEAR,He,</s><s> Eğer polis olsaydım kapı komşusunu kontrol ederdim. </s><s> Yani Bay Monteil'i mi? </s> <s> Tanrım çok korkardı!,Mr Monteil (Bay Monteil),-1
Çünkü çok korkmuştu.,FEAR,He,Sadece ona yardım ettim. </s><s> Çünkü çok korkmuştu. </s> <s> Öyle tatlı bir adamın başarısız olduğunu görmeye dayanamadım.,man (adam),1
<s> - Yapamaz. </s><s> Korkar. </s> <s>,FEAR,He,"</s><s> Bana elini sürmeye cesaret edemez. </s><s> Erkek olmuş, sevsinler! </s><s> İstese yapar, eminim. </s> <s> - Yapamaz. </s><s> Korkar. </s>",man (erkek),-3
"Korkmuş olmalı, ama servis yapmalısınız.",FEAR,He,"</s><s> Şimdi Roger, nasıl olacağını gösterecek. </s> <s> Korkmuş olmalı, ama servis yapmalısınız.",name (Roger),-1
Sonra birden korkuya kapıldı.,FEAR,He,"</s><s> Herkesin, ölmüş bir adamın itiraflarını anlatabilecek kadar aklı vardır. </s><s> Burada mevzubahis olan senin hayatın. </s><s> Bana o adamın tam olarak kimleri öldürdüğünü söylersen, o zaman belki hallederiz. </s><s> Mesele şu ki, sadece üçünün adını verdi. </s><s> Daha fazlasına takati kalmadı. </s> <s> Sonra birden korkuya kapıldı.",man (adam),-3
Belki Zatoichi'den korktu ve biryerlere kaçtı.,FEAR,He,</s><s> - Eigoro'ya ne oldu ? </s><s> - Henüz dönmedi ! </s><s> Oyabun'u görmek için geri dönmedi ! </s><s> Neler oluyor ? </s><s> Bilmiyorum ! </s><s> Sen benden daha iyi biliyorsun ! </s> <s> Belki Zatoichi'den korktu ve biryerlere kaçtı.,name ( Eigoro),-6
İntihar olayı gazetelere manşet olacak diye yeterince korkuyor zaten.,FEAR,He,</s><s> Bunu müşavir beye söylersen onu mutsuz edersin. </s> <s> İntihar olayı gazetelere manşet olacak diye yeterince korkuyor zaten.,Mr. counselor (müşavir bey),-1
Sanırım korkmuştu.,FEAR,He,</s><s> Max'lerdeydim. </s><s> Neden orada kalmadın? </s><s> Beni o yolladı. </s> <s> Sanırım korkmuştu.,name (Max),-3
</s> <s> Korkmuştu. </s><s> Bir ceset görmüştü. </s>,FEAR,He,"</s><s> CHekov'dan bir şey çıktı mı? </s><s> - Hiçbir şey. </s><s> Kesinlikle hiçbir şey. </s><s> - Olmak zorunda. </s><s> Aşağıya birlikte ışınlandık. </s><s> Yüzeyde birlikteydik. </s><s> - Her an birlikteydik. </s><s> - Her an değil, Kaptan. </s><s> - Bizden bir süreliğine ayrıldı. </s><s> - Bizden ayrıldı ! </s><s> Binaya girdi. </s><s> Spock, bir şey oldu. </s><s> Aslında, evet, Kaptan. </s><s> Doktor, hatırlarsınız... </s> <s> Korkmuştu. </s><s> Bir ceset görmüştü. </s>",name (CHekov),-14
Dışarıya çıktı ve korkmuştu.,FEAR,He,"</s><s> CHekov'dan bir şey çıktı mı? </s><s> - Hiçbir şey. </s><s> Kesinlikle hiçbir şey. </s><s> - Olmak zorunda. </s><s> Aşağıya birlikte ışınlandık. </s><s> Yüzeyde birlikteydik. </s><s> - Her an birlikteydik. </s><s> - Her an değil, Kaptan. </s><s> - Bizden bir süreliğine ayrıldı. </s><s> - Bizden ayrıldı ! </s><s> Binaya girdi. </s><s> Spock, bir şey oldu. </s><s> Aslında, evet, Kaptan. </s><s> Doktor, hatırlarsınız... </s> <s> Korkmuştu. </s><s> Bir ceset görmüştü. </s> Dışarıya çıktı ve korkmuştu.",name (CHekov),-15
Bir nebze de karanlıktan korkmuştu.,FEAR,He,</s><s> Johan biraz endişeliydi çünkü işleri yolunda gitmiyordu. </s><s> Bir müddettir bu şekildeydi. </s><s> Rahatsız uyuyordu. </s><s> Korkmuştu. </s> <s> Bir nebze de karanlıktan korkmuştu.,name (Johan),-3
Herkesin önünde korkar.,FEAR,He,</s><s> Aslında babanı davet ettim. </s><s> O bundan nefret eder. </s><s> Gerilir. </s><s> Geçen gün kayalıklarda halinden hiç memnun değildi. </s> <s> Herkesin önünde korkar.,father(baba),-4
"Sanırım, polisten korkuyordu.",FEAR,He,"Sanırım, polisten korkuyordu. </s> <s> Adamın silahı var.",man (adam),1
Sanırım korktu.,FEAR,He,</s><s> Buddy idi o. </s><s> Henüz küçük bir çocuk. </s> <s> Sanırım korktu. </s><s> Çocuklar Polisten korkar ya!,name (Buddy),-2
Kalktığı anda kimsenin ona inanmayacağından korktuğunu anladım.,FEAR,He,</s><s> Clarence için bugün sınıfta yaptığın şey iyi bir şeydi. </s><s> Ben de hikayesine inanıyordum ama çocukların inanmayacağından çekiniyordum. </s> <s> Kalktığı anda kimsenin ona inanmayacağından korktuğunu anladım.,name (Clarence),-2
Korkudan ödü patlamış.,FEAR,He,</s><s> Adı Paul Milne. </s> <s> Korkudan ödü patlamış.,name (Paul),-1
"Tanrım, çok korktu çünkü parayı geri vermek istedim.",FEAR,He,"</s><s> Sana efendi gibi soruyorum. </s><s> Para nerede? </s><s> Charley'de. </s> <s> Tanrım, çok korktu çünkü parayı geri vermek istedim.",name (Charley),-1
<s> Çünkü korkuyordu. </s> <s> ,FEAR,He,"</s><s> Elmyr'in yaptığı bir van Dongen tablosu. </s><s> Daha sonrasında Van Dongen eseri dikkatlice inceledi... ve bu tabloyu kendisinin yaptığına yemin etti. </s><s> O , dünyanın bilinen en iyi sanat sahtekarı. </s><s> Yanlış anlamayın bir şeyleri itiraf etmiyorum, sadece konuşuyorum. </s> <s> Çünkü korkuyordu.",name (Elmyr),-4
"Korkup kötü bir şok yaşayabilirdi, değil mi?",FEAR,He,"</s><s> Ona Agostino mu, Tino mu diyorsunuz? </s><s> Tino. </s><s> İyi ki uyuyor. </s> <s> Korkup kötü bir şok yaşayabilirdi, değil mi?",name (Tino),-3
İlk arayışında biraz korkmuş ve asiydi.,FEAR,He,</s><s> - Adamlarımdam biri iyi mi? </s><s> - Akbaba. </s><s> Tanıyor musun? </s><s> - Hayır. </s><s> Ne olduğunu söyleyebilir mi? </s><s> - Öğle yemeğine çıkmış. </s><s> - Ne olduğunu söyledi? </s><s> - Henüz gelmedi. </s> <s> - İlk arayışında biraz korkmuş ve asiydi.,men (adamlar),-8
</s> <s> Sarardı. </s><s> Korkudan ölecekti.,FEAR,He,</s><s> Cobb'un nasıl karşılandığını asla tahmin edemezsin. </s><s> Bahse varım neşeden zıplamıştır. </s> <s> Sarardı. </s><s> Korkudan ölecekti.,name (Cobb),-3
Benden korkup kaçtı,FEAR,He,</s><s> Wong Bey'e ne oldu? </s><s> İşe yaramaz ihtiyar </s> <s> Benden korkup kaçtı,Mr. Wong (Wong Bey),-2
"Şimdi Herhalde içeride... saklanıyordur, korkudan aklını kaçırmıştır.",FEAR,He,"</s><s> Philo, onu iyi tanırım. </s> <s> Şimdi Herhalde içeride... saklanıyordur, korkudan aklını kaçırmıştır. </s> <s> Ağladığını görmek istemiyorum. </s><s> İzin ver onunla konuşayım.",name (Philo),-1
Sonunda bana ölmekten korktuğunu da söyledi.,FEAR,He,"</s><s> Larry DeSilva da yakında bu modayla ölen suçlular listesine katılacak. </s><s> Zamanı geldi. </s><s> DeSilva, bana hayatını alacak yöntem hakkında birkaç şey okuduğunu söyledi. </s><s> Korkup, korkmadığını sorduğumda, bana baktı ve gülümsedi. </s><s> Ama gardiyanlar onu infaz odasına götürdüklerinde DeSilva gergin ve kafası karışık görünüyordu. </s> <s> Sonunda bana ölmekten korktuğunu da söyledi.",name (Larry),-5
"En ufak falso vermedi, çok fazla korkmuş.",FEAR,He,"</s><s> Oradaki güvenlik görevlisi Flynn ile konuştuk. </s> <s> Saatlerce sorguya çektik. </s><s> En ufak falso vermedi, çok fazla korkmuş.",name (Flynn),-2
Sırrının açığa çıkmasından korkuyor,FEAR,He,</s><s> Chien Lung'un 4üncü kardeşi yakalatmasına şaşmamalı </s> <s> Sırrının açığa çıkmasından korkuyor,name (Chien Lung),-1
"Biliyorsun, buraya kendi gölgesinden korkar, ev özlemiyle tutuşur halde gelmişti.",FEAR,He,"</s><s> Charlie'yi düşünüyordum. </s> <s> Biliyorsun, buraya kendi gölgesinden korkar, ev özlemiyle tutuşur halde gelmişti.",name (Charlie),-1
"Hile yapmadı ama ışıklar kapandıktan sonra ayakta olmamızdan ve sigara içmemizden o kadar korktu ki, Hemen söylemiş",FEAR,He,"</s><s> Ne salak Herif! </s> <s> Hile yapmadı ama ışıklar kapandıktan sonra ayakta olmamızdan ve sigara içmemizden o kadar korktu ki, Hemen söylemiş",man (Herif),-1
Çok mu korkuyor?,FEAR,He,/s><s> - O adam geliyor mu? </s><s> - Hayır. </s><s> - Neden? </s> <s> Çok mu korkuyor?,man (adam),-3
"Bakın Albay, hayattaysa, korkmuş ve açtır.",FEAR,He,"</s><s> Kayıtlara bakılırsa, Bay Başkan, oğlunuz popüler bir öğrenci lideriymiş. </s><s> Evet, bir liderdir. </s><s> Ama şiddet ve güç kullanma yanlısı değildir. </s><s> Daha ziyade bir politikacıdır. </s><s> Tıpkı babası gibi. </s><s> Seçkin bir paramiliter organizasyonun üyesi. </s><s> Kartal izciler. </s><s> Evet, ama bu askeri bir organizasyon değil. </s> <s> Bakın Albay, hayattaysa, korkmuş ve açtır.",son (oğul),-8
Ödü kopuyor.,FEAR,He,</s><s> Az önceki Rickert'dı. </s><s> Biraz dağılmış görünüyor. </s> <s> Ödü kopuyor. </s>,name (Rickert),-2
Oldukça korkmuştu.,FEAR,He,</s><s> Bir gün Joseph bize kaçacağını söyledi. </s><s> Artık dayanamayacağını söyledi. </s> <s> Oldukça korkmuştu.,name (Joseph),-2
Gerçekten dehşet içindeydi.,FEAR,He,</s><s> Birkaç gün önce Charley'den bir mektup aldım. </s> <s> Gerçekten dehşet içindeydi.,name (Charley),-2
Benden korkuyor.,FEAR,He,"</s><s> Lewis'e ne oldu? </s><s> Benden çekiniyor, değil mi? </s> <s> Benden korkuyor.",name (Lewis),-2
Bu benden korktuğu anlamına geliyor.,FEAR,He,"</s><s> Ah, gençliğinde... </s><s> Âlemin kralıydı bebeğim. </s><s> Ve kral beni arıyor. </s><s> Bunun ne anlama geldiğini biliyor musunuz? </s> <s> Bu benden korktuğu anlamına geliyor.",king (kral),-3
Muhtemelen sizden korkuyor.,FEAR,He,</s><s> - Neden Luinen'den bir şey duymadım? </s> <s> - Muhtemelen sizden korkuyor.,name (Luinen),-1
Korkmuşa benziyor,FEAR,He,"<s> Peter için geldim. </s><s> Hangisi Peter? </s><s> Küçük olan mı, büyük olan mı? </s><s> Küçük olan. </s><s> Küçük olan. </s><s> Sana birşey diyeyim mi? </s> <s> Korkmuşa benziyor.",name (Peter),-6
Evreni dolaşan biri olarak ödü kopuyor.,FEAR,He,"</s><s> Evet ama sanırım bizim bahsettiğimiz Hedef... ..Jack McDermott için bir yer bulmaktı İsa için değil. </s><s> Dr.Weitzman,o hala çıplak geziyor. </s><s> Daha çok gitmesi gereken yol var. </s> <s> Evreni dolaşan biri olarak ödü kopuyor.",name (Jack),-3
"Toplam miktarı söyle, korkup kaçacaktır.",FEAR,He,"</s><s> Adamın biri kulüpte tutuklanan Herkesin kefaletini ödemek istiyor. </s><s> - Kimmiş o? </s><s> - Havalı bir zenci. </s><s> Belki de delinin tekidir. </s> <s> Toplam miktarı söyle, korkup kaçacaktır.",man (adam),-4
"Tanrım, bilmiyorum belki de sadece korkuyormuş gibi yapıyordur.",FEAR,He,"</s><s> Michael'in probleminin ne olduğunu söylemek için Henüz çok erken. </s><s> Kesin bir tanı koyamıyorum. </s><s> Zor anlaşılan birisi.. </s><s> Parlak.. </s><s> Kaba.. </s><s> Ama sezgileri çok kuvvetli.. </s><s> Henüz bana tam olarak güvendiğini zannetmiyorum.. </s><s> Sanırım korkuyor. </s><s> - Evet. </s> <s> Tanrım, bilmiyorum belki de sadece korkuyormuş gibi yapıyordur.",name (Michael),-9
"</s><s> Hanımefendi, çocuğa böyle vurmanıza gerek yoktu. </s> <s> Zaten ödü patladı.",FEAR,He,"</s><s> Hanımefendi, çocuğa böyle vurmanıza gerek yoktu. </s> <s> Zaten ödü patladı. </s> <s> Oğluma yardım ettiğin için çok sağ ol ama onu nasıI terbiye edeceğime kimse karışamaz",son (oğul),1
"Korkuyordu, o şeyler duvarlardan bile çıkıyormuş.",FEAR,He,"</s><s> Kimse Paul'dan nefret etmiyordu ki. </s><s> Sana ne anlattı? </s><s> Endişeliydi. </s><s> Takip edildiğini düşünüyordu. </s><s> Kim? </s><s> Bilmiyordu. </s><s> Yaratıklar. </s><s> Neden bahsediyorsun? </s><s> Yaratıklar! </s><s> - CeHenneme gideceğini sanıyordu! </s><s> Hangi nedenle böyle bir şey söyledi? </s><s> Bu çok garip. </s><s> Başka ne söyledi? </s> <s> Korkuyordu, o şeyler duvarlardan bile çıkıyormuş.",name (Paul),-13
Dane ilişkimizi öğrenecek diye korkuyordu.,FEAR,He,"</s><s> Mink'i bilirsin. </s><s> Ödlektir. </s><s> Ağlayarak eve geldi, birini öldürdüğünü söyledi. </s><s> Rug Verna'yı izliyordu. </s><s> Mink tesadüfen onunlaydı. </s><s> Tuhaf, değil mi? </s> <s> Dane ilişkimizi öğrenecek diye korkuyordu.",name (Mink),-6
Korkmuştu. </s> <s> Zaten korkmuştu.,FEAR,He,</s><s> O yaşlı adamı dövmek zorunda mıydık? </s><s> Korkutmak içindi seni salak. </s><s> Korkmuştu. </s> <s> Zaten korkmuştu.,man (adam),-2
Korkutmak mı? </s><s> Tabii ki korkuyor.,FEAR,He,Korkutmak mı? </s><s> Tabii ki korkuyor. </s> <s> Ona benim hakkımda yalanlar söyledin. </s><s> Oğlum beni senin yüzünden tanımıyor.,son (oğul),2
Sanırım korkudan ölmüş.,FEAR,He,</s><s> Spenser'ı gördün mü? </s><s> - Gördüm. </s><s> - Bir şey bulmuş mu? </s><s> Bir şey onu bulmuş. </s><s> O öldü Leroy. </s> <s> Sanırım korkudan ölmüş. </s>,name (Spenser),-5
Korkuyor ve bu zararı kontrol çabası.,FEAR,He,</s><s> Dick hayır dediğinde ben de hayır diyorum. </s><s> - Neyin peşinde olduğunu biliyorum. </s> <s> Korkuyor ve bu zararı kontrol çabası.,name (Dick),-2
"O kadar erken dümeni kırmamalıydı, bence korkuya kapıldı.",FEAR,He,"</s><s> Bu olanlar Josh'un suçu değil. </s><s> - Bir şeyler yapmak zorundaydım. </s><s> - Yalan söylemek zorunda kalmayacaktık hani. </s><s> Yalan söylememek konusunda anlaşmıştık. </s><s> Ben yalan söylemedim, söylediğim Her şey doğruydu. </s><s> Bu kaza onun hatası değildi! </s><s> O benim de dostumdu Ves. </s><s> Onu bu takıma almak için çok uğraştım ama doğrusu o ki, panikledi. </s><s> - Bunu bilemeyiz! </s><s> - Biliriz tabii ki! </s><s> Hiçbirimiz söylemek istemedi ama Hepimiz aynı şeyi düşünüyorduk. </s><s> Öyle değil mi? </s> <s> O kadar erken dümeni kırmamalıydı, bence korkuya kapıldı.",name (Josh),-12
"Onları biraz tanımıyor olsaydım, korkmuş olduğunu söyleyebilirdim.",FEAR,He,"</s><s> Borg yemek sindirimi yapmaz. </s><s> İmplantları dokuların ihtiyaç duyduğu Her organik molekülü sentezleyebilir. </s><s> Asıl ihtiyaç duydukları enerjidir. </s><s> - Beslenmesini ayarlayın. </s><s> - Emredersiniz efendim. </s><s> Bir güç devresini ona uydurup oraya yerleştirmeliyim. </s> <s> Onları biraz tanımıyor olsaydım, korkmuş olduğunu söyleyebilirdim.",name (Borg),-6
Ondan korkmuş gibiydi.,FEAR,He,</s><s> Herif de Clovis'ten hiç hoşlanmadı! </s> <s> Ondan korkmuş gibiydi. ,man (adam),-1
Kediden korktu!,FEAR,He,</s><s> Herif de Clovis'ten hiç hoşlanmadı! </s> <s> Ondan korkmuş gibiydi. </s> <s> Kediden korktu!,man (adam),-2
yarım milyon dolarla bir motel odasında korkuyor,FEAR,He,Adamın başı dertte. Yarım milyon dolarla bir otel odasında korkuyor.,man (adam),-1
"Öyle korkmuştu ki evden dışarı çıkamıyordu, telefona bakamıyordu ya da...",FEAR,He,"/s><s> Gelip babamı götürdükleri gece yemeğin tam ortasındaydık. </s><s> Yemeğin tam ortasındaydık ve öylece çıkageldiler. </s><s> Ve biz hiçbir şey yapmadık. </s><s> Bize bir şey yapmamamızı söyledi. </s><s> O... </s><s> O, o kadar soğukkanlıydı ki. </s><s> O... o hiç de korkmuş gözükmüyordu ve... ve dört ay sonra onu geri getirdiklerinde onu tanıyamadım. </s><s> Çok farklı görünüyordu. </s><s> O... öylesine zayıftı ki konuşamıyordu bile. </s><s> Ve kemanının yanına yaklaşmıyordu. </s> <s> Öyle korkmuştu ki evden dışarı çıkamıyordu, telefona bakamıyordu ya da...",father(baba),-9
Yeterince korkuyor.,FEAR,He,</s><s> - Willy nasıl? </s><s> - Bilmiyorum. </s> <s> Yeterince korkuyor.,name (Willy),-2
